# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   94       3.305095230758e-10       9.529584880419e-14      -2.652968410640e-12       3.985705828880e-16       1.302132706340e-11       1.695424657824e-12      -7.544932546835e-15 
   95       3.344930240650e-10       9.741858177210e-14      -2.741874154803e-12       4.070603970780e-16       1.267875407098e-11       1.657642248530e-12      -7.458595917326e-15 
   96       3.385067719089e-10       9.953026297819e-14      -2.831203827300e-12       4.156424268217e-16       1.234834892543e-11       1.621151203324e-12      -7.375907637300e-15 
   97       3.425497854020e-10       1.016288539148e-13      -2.920888975844e-12       4.243171488213e-16       1.202923821751e-11       1.585868453930e-12      -7.297978294876e-15 
   98       3.466208408177e-10       1.037122835139e-13      -3.010859683228e-12       4.330850687306e-16       1.172037349735e-11       1.551692541981e-12      -7.225975711633e-15 
   99       3.507187552665e-10       1.057784841235e-13      -3.101045313851e-12       4.419467203634e-16       1.142077288565e-11       1.518527039101e-12      -7.160810323909e-15 
  100       3.548433019503e-10       1.078255044615e-13      -3.191376845538e-12       4.509026617766e-16       1.113029711933e-11       1.486355892068e-12      -7.102138200994e-15 
  101       3.589944084902e-10       1.098514134157e-13      -3.281784893979e-12       4.599534798463e-16       1.084897348395e-11       1.455177682199e-12      -7.049218114019e-15 
  102       3.631718708106e-10       1.118542666473e-13      -3.372199030585e-12       4.690997922937e-16       1.057675578463e-11       1.424982249771e-12      -7.001211873089e-15 
  103       3.673753477150e-10       1.138321073891e-13      -3.462547804532e-12       4.783422483228e-16       1.031352171579e-11       1.395750383857e-12      -6.957181554889e-15 
  104       3.716043554616e-10       1.157829672426e-13      -3.552758764808e-12       4.876815292572e-16       1.005907023085e-11       1.367453512168e-12      -6.916086730300e-15 
  105       3.758582623397e-10       1.177048669763e-13      -3.642758482254e-12       4.971183491779e-16       9.813118911954e-12       1.340053390883e-12      -6.876781692005e-15 
