#scalar perturbations for mode k = 1.000000000000e+00 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_rho_fld       19:rho_plus_p_theta_fld    20:delta_p_fld        
       7.849337864917e-02       1.702210030764e-07      -1.202225042279e+00       2.353396595522e-02       4.526832102924e-10       1.131708025731e-09       1.224497309027e-17       2.263416051462e-10      -9.016687817096e-01       2.353396595522e-02       6.002383984054e-01       6.997518702302e-01      -1.202224980299e+00       2.352751344027e-02       2.464852860012e-04      -9.016688784648e-01       2.354739622939e-02      -1.034109914056e-13       3.647576522080e-15       3.338262285342e-13 
       7.966413650792e-02       1.727603490346e-07      -1.202301416302e+00       2.388480667719e-02       4.732415051967e-10       1.183103762992e-09       1.318584996316e-17       2.366207525984e-10      -9.017260622264e-01       2.388480667719e-02       6.002325489304e-01       6.997420293757e-01      -1.202301344021e+00       2.387806117580e-02       2.538840499908e-04      -9.017261750604e-01       2.389884679471e-02      -1.034135645264e-13       3.823586443190e-15       3.447940946689e-13 
       8.083489436668e-02       1.752997078241e-07      -1.202377820743e+00       2.423561822990e-02       4.944124673405e-10       1.236031168351e-09       1.418368100317e-17       2.472062336703e-10      -9.017833655572e-01       2.423561822990e-02       6.002267511999e-01       6.997323178273e-01      -1.202377737698e+00       2.422857101397e-02       2.613921603203e-04      -9.017834951946e-01       2.425028636959e-02      -1.035611845486e-13       4.005336932494e-15       3.559549009098e-13 
       8.200565222543e-02       1.778390794450e-07      -1.202454308304e+00       2.458640065386e-02       5.162050628120e-10       1.290512657030e-09       1.524101252977e-17       2.581025314060e-10      -9.018407312280e-01       2.458640065386e-02       6.002209997102e-01       6.997227223984e-01      -1.202454214017e+00       2.457904286728e-02       2.690096024992e-04      -9.018408784149e-01       2.460171526144e-02      -1.038461922104e-13       4.192928466261e-15       3.673092131230e-13 
       8.317641008418e-02       1.803784638974e-07      -1.202530927712e+00       2.493715396871e-02       5.386282560278e-10       1.346570640070e-09       1.636046555709e-17       2.693141280139e-10      -9.018981957843e-01       2.493715396871e-02       6.002152893017e-01       6.997132308957e-01      -1.202530821692e+00       2.492947662737e-02       2.767363619677e-04      -9.018983612885e-01       2.495313375678e-02      -1.042615755188e-13       4.386461818399e-15       3.788575920760e-13 
       8.434716794293e-02       1.829178611811e-07      -1.202607724063e+00       2.528787817462e-02       5.616910097036e-10       1.404227524259e-09       1.754473686687e-17       2.808455048518e-10      -9.019557930470e-01       2.528787817462e-02       6.002096151349e-01       6.997038320343e-01      -1.202607605802e+00       2.527987216642e-02       2.845724240905e-04      -9.019559776582e-01       2.530454212262e-02      -1.048009076884e-13       4.586038058195e-15       3.906005936127e-13 
       8.643207361457e-02       1.874400951822e-07      -1.202745050912e+00       2.591238171250e-02       6.043731110149e-10       1.510932777537e-09       1.982290425988e-17       3.021865555075e-10      -9.020587881840e-01       2.591238171250e-02       6.001995862223e-01       6.996872916126e-01      -1.202744909557e+00       2.590376744728e-02       2.987976122268e-04      -9.020590088472e-01       2.593031185117e-02      -1.060501576837e-13       4.956725902163e-15       4.119963468567e-13 
       8.851697928621e-02       1.919623698757e-07      -1.202883282389e+00       2.653679263836e-02       6.491624671361e-10       1.622906167840e-09       2.233175039521e-17       3.245812335681e-10      -9.021624617918e-01       2.653679263836e-02       6.001896344887e-01       6.996709590123e-01      -1.202883116208e+00       2.652754009053e-02       3.133693024066e-04      -9.021627212118e-01       2.655605151039e-02      -1.076443983153e-13       5.347473959970e-15       4.340141302425e-13 
       9.060188495785e-02       1.964846852615e-07      -1.203022605021e+00       2.716111057063e-02       6.961096533608e-10       1.740274133402e-09       2.508835721286e-17       3.480548266804e-10      -9.022669537656e-01       2.716111057063e-02       6.001797388769e-01       6.996547875369e-01      -1.203022412196e+00       2.715118899226e-02       3.282874098623e-04      -9.022672547792e-01       2.718176222525e-02      -1.095580519133e-13       5.758859849514e-15       4.566569767722e-13 
       9.268679062948e-02       2.010070413397e-07      -1.203163182783e+00       2.778533499495e-02       7.452652263157e-10       1.863163065789e-09       2.811062859769e-17       3.726326131579e-10      -9.023723870874e-01       2.778533499496e-02       6.001698804980e-01       6.996387361277e-01      -1.203162961411e+00       2.777471291599e-02       3.435518487876e-04      -9.023727326664e-01       2.780744498776e-02      -1.117689989908e-13       6.191464045509e-15       4.799278782875e-13 
