#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_rho_fld       19:rho_plus_p_theta_fld    20:delta_p_fld        
       8.930375192374e+01       2.309608489595e-04      -1.375362842026e+00       2.637533346802e-05       9.958631712304e-07       2.489657928076e-06       5.324504284508e-11       4.979315856152e-07      -1.031522131535e+00       2.637533719819e-05       5.884158242794e-01       6.565459025720e-01      -1.375362718151e+00       2.636318948070e-05       3.092549494800e-04      -1.031522245281e+00       2.638994978220e-05      -2.507971976646e-13       1.043065616741e-17       8.560132033742e-13 
       9.055392932540e+01       2.347240002297e-04      -1.374451955683e+00       2.668171941047e-05       1.040373858290e-06       2.600934645724e-06       5.745227125380e-11       5.201869291448e-07      -1.030838966783e+00       2.668172385429e-05       5.889316490732e-01       6.567846792467e-01      -1.374451811116e+00       2.666903294841e-05       3.180929048733e-04      -1.030839099154e+00       2.669690937827e-05      -2.416810543760e-13       1.082705020311e-17       8.767189369265e-13 
       9.180410672706e+01       2.385017828054e-04      -1.373655354532e+00       2.698900733300e-05       1.086340506370e-06       2.715851265925e-06       6.193726289644e-11       5.431702531850e-07      -1.030241515925e+00       2.698901254516e-05       5.894224945305e-01       6.569950124926e-01      -1.373655188353e+00       2.697576111920e-05       3.270328440557e-04      -1.030241667646e+00       2.700478458457e-05      -2.330873610951e-13       1.123215457815e-17       8.975577074686e-13 
       9.305428412872e+01       2.422941966865e-04      -1.372965171015e+00       2.729713261128e-05       1.133792467700e-06       2.834481169250e-06       6.671482788032e-11       5.668962338500e-07      -1.029723878294e+00       2.729713864916e-05       5.898898211002e-01       6.571788695614e-01      -1.372964982277e+00       2.728330908882e-05       3.360750474437e-04      -1.029724050107e+00       2.731351083441e-05      -2.249731503297e-13       1.164597441475e-17       9.185256441154e-13 
       9.430446153038e+01       2.461012418730e-04      -1.372374139236e+00       2.760603474908e-05       1.182759352436e-06       2.956898381090e-06       7.180038641193e-11       5.913796762181e-07      -1.029280604468e+00       2.760604167272e-05       5.903349880097e-01       6.573380672634e-01      -1.372373926962e+00       2.759161607942e-05       3.452197744632e-04      -1.029280797131e+00       2.762302768781e-05      -2.172988611128e-13       1.206851405381e-17       9.396189993257e-13 
       9.555463893203e+01       2.499229183650e-04      -1.371875542584e+00       2.791565707526e-05       1.233271029371e-06       3.083177573426e-06       7.720998714687e-11       6.166355146853e-07      -1.028906656989e+00       2.791566494753e-05       5.907592613740e-01       6.574742850630e-01      -1.371875305767e+00       2.790062513670e-05       3.544672648836e-04      -1.028906871278e+00       2.793327852852e-05      -2.100280246788e-13       1.249977706018e-17       9.608341425656e-13 
       9.760236133609e+01       2.562142255908e-04      -1.371242478921e+00       2.842421968954e-05       1.319422818689e-06       3.298557046722e-06       8.681469850355e-11       6.597114093444e-07      -1.028431859259e+00       2.842422925902e-05       5.914121184009e-01       6.576517789544e-01      -1.371242199648e+00       2.840814335323e-05       3.698367330005e-04      -1.028432110692e+00       2.844290056602e-05      -1.989033112923e-13       1.322501536423e-17       9.958373259924e-13 
       9.965008374014e+01       2.625447866388e-04      -1.370816190494e+00       2.893435844730e-05       1.409933912296e-06       3.524834780739e-06       9.741108118240e-11       7.049669561479e-07      -1.028112142960e+00       2.893436990357e-05       5.920167976749e-01       6.577779267179e-01      -1.370815865844e+00       2.891718707103e-05       3.854833631141e-04      -1.028112433742e+00       2.895413613710e-05      -1.886381712436e-13       1.397367240316e-17       1.031142986924e-12 
       1.016978061442e+02       2.689146015092e-04      -1.370574833293e+00       2.944587966014e-05       1.504940103148e-06       3.762350257871e-06       1.090814305665e-10       7.524700515742e-07      -1.027931125085e+00       2.944589320657e-05       5.925775392999e-01       6.578581903645e-01      -1.370574460207e+00       2.942756133170e-05       4.014079173398e-04      -1.027931457496e+00       2.946679176954e-05      -1.791149685808e-13       1.474575072007e-17       1.066736969699e-12 
       1.037455285483e+02       2.753236702019e-04      -1.370499060872e+00       2.995860840376e-05       1.604579092320e-06       4.011447730801e-06       1.219133124905e-10       8.022895461602e-07      -1.027874295799e+00       2.995862425818e-05       5.930981436999e-01       6.578974073890e-01      -1.370498636145e+00       2.993908993113e-05       4.176110562322e-04      -1.027874672196e+00       2.998069274479e-05      -1.702297414357e-13       1.554124764439e-17       1.102605773916e-12 
       1.057932509523e+02       2.817719927169e-04      -1.370571703514e+00       3.047238648825e-05       1.708990524094e-06       4.272476310236e-06       1.359998154533e-10       8.544952620472e-07      -1.027928777816e+00       3.047240488360e-05       5.935820237664e-01       6.578998709899e-01      -1.370571223796e+00       3.045161339021e-05       4.340933483934e-04      -1.027929200632e+00       3.049568106817e-05      -1.618903513879e-13       1.636015544631e-17       1.138736510006e-12 
       1.078409733564e+02       2.882595690542e-04      -1.370777492633e+00       3.098707066079e-05       1.818316049724e-06       4.545790124309e-06       1.514398174530e-10       9.091580248618e-07      -1.028083119696e+00       3.098709184581e-05       5.940322502273e-01       6.578693989802e-01      -1.370776954422e+00       3.096498715796e-05       4.508552791600e-04      -1.028083591444e+00       3.101161367162e-05      -1.540149129707e-13       1.720246150031e-17       1.175116859816e-12 
       1.098886957604e+02       2.947863992138e-04      -1.371102824022e+00       3.150253102478e-05       1.932699452483e-06       4.831748631206e-06       1.683382755548e-10       9.663497262413e-07      -1.028327118284e+00       3.150255526472e-05       5.944515910544e-01       6.578093929849e-01      -1.371102223663e+00       3.147908003104e-05       4.678972583757e-04      -1.028327641554e+00       3.152836083288e-05      -1.465304572875e-13       1.806814845746e-17       1.211735041418e-12 
       1.126228465583e+02       3.035623213664e-04      -1.371702723276e+00       3.219178904106e-05       2.093564969970e-06       5.233912424926e-06       1.933691051657e-10       1.046782484985e-06      -1.028777042797e+00       3.219181780346e-05       5.949676469455e-01       6.576884430711e-01      -1.371702033963e+00       3.216642087431e-05       4.910891538381e-04      -1.028777639032e+00       3.221939709702e-05      -1.370346546591e-13       1.926043958730e-17       1.260979512196e-12 
       1.153569973561e+02       3.124082252558e-04      -1.372468838687e+00       3.288197057822e-05       2.264065083540e-06       5.660162708850e-06       2.214837030516e-10       1.132032541770e-06      -1.029351629441e+00       3.288200440989e-05       5.954383659712e-01       6.575265677346e-01      -1.372468053237e+00       3.285457796851e-05       5.147815621794e-04      -1.029352303585e+00       3.291142593458e-05      -1.279837838749e-13       2.049431053929e-17       1.310602406157e-12 
       1.180911481540e+02       3.213241108818e-04      -1.373379226185e+00       3.357285403551e-05       2.444571328651e-06       6.111428321627e-06       2.529908026893e-10       1.222285664325e-06      -1.030034420164e+00       3.357289352901e-05       5.958683938661e-01       6.573292537327e-01      -1.373378337016e+00       3.354332653794e-05       5.389749496457e-04      -1.030035177348e+00       3.360422607453e-05      -1.192593556562e-13       2.176968412937e-17       1.360579596522e-12 
       1.208252989518e+02       3.303099782445e-04      -1.374414880454e+00       3.426424373757e-05       2.635485185921e-06       6.588712964804e-06       2.882290386079e-10       1.317742592961e-06      -1.030811160982e+00       3.426428953428e-05       5.962618126435e-01       6.571012529426e-01      -1.374413879578e+00       3.423246771045e-05       5.636696271287e-04      -1.030812006526e+00       3.429760213992e-05      -1.107582178897e-13       2.308647094614e-17       1.410888268173e-12 
       1.235594497497e+02       3.393658273440e-04      -1.375559298234e+00       3.495596664324e-05       2.837277852252e-06       7.093194630629e-06       3.275801279121e-10       1.418638926126e-06      -1.031669474452e+00       3.495601943762e-05       5.966222117785e-01       6.568466915601e-01      -1.375558177243e+00       3.492182522795e-05       5.888657677904e-04      -1.031670413863e+00       3.499138135762e-05      -1.023902067208e-13       2.444457018151e-17       1.461506833971e-12 
       1.262936005475e+02       3.484916581801e-04      -1.376798111763e+00       3.564786947456e-05       3.050596538200e-06       7.626491345499e-06       3.715037409241e-10       1.525298269100e-06      -1.032598584753e+00       3.564793002166e-05       5.969527385486e-01       6.565691617585e-01      -1.376796861814e+00       3.561124257764e-05       6.145634226684e-04      -1.032599623729e+00       3.568541068900e-05      -9.407620403803e-14       2.584387049491e-17       1.512414861635e-12 
       1.290277513454e+02       3.576874707529e-04      -1.378118780622e+00       3.633981622061e-05       3.276394946414e-06       8.190987366035e-06       4.205722045512e-10       1.638197473207e-06      -1.033589086575e+00       3.633988534311e-05       5.972561569279e-01       6.562717987428e-01      -1.378117392431e+00       3.630058049760e-05       6.407625343363e-04      -1.033590231004e+00       3.637955433505e-05      -8.574652620716e-14       2.728425094489e-17       1.563593010551e-12 
       1.325889850027e+02       3.697699621097e-04      -1.379943760632e+00       3.724094553119e-05       3.590830537383e-06       8.977076343459e-06       4.932880299431e-10       1.795415268692e-06      -1.034957821850e+00       3.724102718805e-05       5.976147159161e-01       6.558592268117e-01      -1.379942177705e+00       3.719812146377e-05       6.756385693683e-04      -1.034959112777e+00       3.728365097965e-05      -7.477282396961e-14       2.922173246177e-17       1.630627540766e-12 
       1.361502186600e+02       3.819711780697e-04      -1.381868266206e+00       3.814171209995e-05       3.930149676911e-06       9.825374192277e-06       5.773640918490e-10       1.965074838455e-06      -1.036401201346e+00       3.814180799661e-05       5.979362415885e-01       6.554228430071e-01      -1.381866470979e+00       3.809507764198e-05       7.113645026228e-04      -1.036402649503e+00       3.818750497522e-05      -6.354995668986e-14       3.122837941206e-17       1.698051375073e-12 
       1.397114523173e+02       3.942911186330e-04      -1.383874681357e+00       3.904191561431e-05       4.294973153385e-06       1.073743288346e-05       6.740881874100e-10       2.147486576693e-06      -1.037906013079e+00       3.904202761981e-05       5.982250441151e-01       6.549670507733e-01      -1.383872655197e+00       3.899124142399e-05       7.479395616062e-04      -1.037907629621e+00       3.909091627427e-05      -5.197575248819e-14       3.330386411202e-17       1.765829107934e-12 
       1.432726859746e+02       4.067297837996e-04      -1.385948104530e+00       3.994138456190e-05       4.685803671235e-06       1.171450917809e-05       7.848126424053e-10       2.342901835618e-06      -1.039461080889e+00       3.994151470416e-05       5.984848528889e-01       6.544955747247e-01      -1.385945827695e+00       3.988643396003e-05       7.853627863549e-04      -1.039462877395e+00       3.999371355201e-05      -3.996181611714e-14       3.544783960008e-17       1.833927727567e-12 
