# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  110       3.971210785045e-10       1.264124888925e-13      -4.091659679983e-12       0.000000000000e+00       8.695099151868e-12       1.214468378134e-12      -6.659655433090e-15 
  111       4.015048505678e-10       1.281135064146e-13      -4.179081154476e-12       0.000000000000e+00       8.490375767420e-12       1.191200424041e-12      -6.603433099174e-15 
  112       4.059074409138e-10       1.297720295840e-13      -4.265771508220e-12       0.000000000000e+00       8.291534573679e-12       1.168505348964e-12      -6.542505947812e-15 
  113       4.103283136484e-10       1.313863803877e-13      -4.351656693069e-12       0.000000000000e+00       8.098572123088e-12       1.146389084589e-12      -6.477381061907e-15 
  114       4.147668325965e-10       1.329549009664e-13      -4.436662294891e-12       0.000000000000e+00       7.911447249901e-12       1.124853819844e-12      -6.408605793311e-15 
  115       4.192222579382e-10       1.344759549229e-13      -4.520713564443e-12       0.000000000000e+00       7.730079878468e-12       1.103897877072e-12      -6.336768633572e-15 
  116       4.236937428458e-10       1.359479286304e-13      -4.603735448248e-12       0.000000000000e+00       7.554349831533e-12       1.083515588193e-12      -6.262500084675e-15 
  117       4.281803301204e-10       1.373692325415e-13      -4.685652619461e-12       0.000000000000e+00       7.384095638528e-12       1.063697170870e-12      -6.186473529790e-15 
  118       4.326809488284e-10       1.387383024961e-13      -4.766389508751e-12       0.000000000000e+00       7.219113343864e-12       1.044428604679e-12      -6.109406104017e-15 
  119       4.371944109382e-10       1.400536010301e-13      -4.845870335170e-12       0.000000000000e+00       7.059155315226e-12       1.025691507272e-12      -6.032059565124e-15 
  120       4.417194079571e-10       1.413136186841e-13      -4.924019137030e-12       0.000000000000e+00       6.903929051866e-12       1.007463010543e-12      -5.955241164303e-15 
  121       4.462545075674e-10       1.425168753115e-13      -5.000759802772e-12       0.000000000000e+00       6.753095992895e-12       9.897156367971e-13      -5.879804516904e-15 
  122       4.507981502637e-10       1.436619213872e-13      -5.076016101847e-12       0.000000000000e+00       6.606270325579e-12       9.724171749140e-13      -5.806650473185e-15 
  123       4.553488230376e-10       1.447473853540e-13      -5.149712514600e-12       0.000000000000e+00       6.463102673174e-12       9.555378141212e-13      -5.736534873435e-15 
  124       4.599056101921e-10       1.457721190328e-13      -5.221776764149e-12       0.000000000000e+00       6.323544583093e-12       9.390727370569e-13      -5.669464951118e-15 
  125       4.644676997621e-10       1.467350714615e-13      -5.292137634914e-12       0.000000000000e+00       6.187612319258e-12       9.230219009522e-13      -5.605234905479e-15 
  126       4.690342101832e-10       1.476352460060e-13      -5.360724236427e-12       0.000000000000e+00       6.055304185586e-12       9.073829464570e-13      -5.543612164294e-15 
  127       4.736041883220e-10       1.484717020319e-13      -5.427466040500e-12       0.000000000000e+00       5.926600002100e-12       8.921511309083e-13      -5.484336735217e-15 
  128       4.781766075048e-10       1.492435565741e-13      -5.492292918377e-12       0.000000000000e+00       5.801460581041e-12       8.773192615978e-13      -5.427120557128e-15 
  129       4.827503655482e-10       1.499499860086e-13      -5.555135177899e-12       0.000000000000e+00       5.679827202974e-12       8.628776290397e-13      -5.371646851476e-15 
  130       4.873242827878e-10       1.505902277221e-13      -5.615923600664e-12       0.000000000000e+00       5.561621092902e-12       8.488139402384e-13      -5.317569473624e-15 
  131       4.918971001085e-10       1.511635817838e-13      -5.674589479184e-12       0.000000000000e+00       5.446742896376e-12       8.351132519563e-13      -5.264512264199e-15 
  132       4.964674769740e-10       1.516694126152e-13      -5.731064654052e-12       0.000000000000e+00       5.335072155605e-12       8.217579039818e-13      -5.212068400432e-15 
  133       5.010339894562e-10       1.521071506613e-13      -5.785281551094e-12       0.000000000000e+00       5.226466785567e-12       8.087274523966e-13      -5.159799747506e-15 
  134       5.055951282649e-10       1.524762940611e-13      -5.837173218537e-12       0.000000000000e+00       5.120762550116e-12       7.959986028439e-13      -5.107236209903e-15 
  135       5.101492967778e-10       1.527764103183e-13      -5.886673364165e-12       0.000000000000e+00       5.017772538098e-12       7.835451437961e-13      -5.053875082747e-15 
  136       5.146948090694e-10       1.530071379722e-13      -5.933716392480e-12       0.000000000000e+00       4.917286639457e-12       7.713378798225e-13      -4.999180403152e-15 
  137       5.192300325123e-10       1.531682128886e-13      -5.978238138327e-12       0.000000000000e+00       4.819116369794e-12       7.593508583409e-13      -4.942695647781e-15 
  138       5.237538364030e-10       1.532595466674e-13      -6.020178074789e-12       0.000000000000e+00       4.723235687974e-12       7.475809183427e-13      -4.884396360349e-15 
  139       5.282651862394e-10       1.532811595543e-13      -6.059477405283e-12       0.000000000000e+00       4.629653824729e-12       7.360300474439e-13      -4.824372953718e-15 
  140       5.327630022725e-10       1.532331583581e-13      -6.096078428793e-12       0.000000000000e+00       4.538371007809e-12       7.246992433691e-13      -4.762720707870e-15 
  141       5.372461584533e-10       1.531157382775e-13      -6.129924581447e-12       0.000000000000e+00       4.449378225924e-12       7.135884871654e-13      -4.699539840672e-15 
  142       5.417134813806e-10       1.529291847288e-13      -6.160960478103e-12       0.000000000000e+00       4.362656992693e-12       7.026967164157e-13      -4.634935578664e-15 
  143       5.461637492476e-10       1.526738751719e-13      -6.189131953925e-12       0.000000000000e+00       4.278179110590e-12       6.920217984529e-13      -4.569018227826e-15 
  144       5.505956907898e-10       1.523502809379e-13      -6.214386105969e-12       0.000000000000e+00       4.195906434887e-12       6.815605035734e-13      -4.501903244355e-15 
  145       5.550079842318e-10       1.519589690561e-13      -6.236671334759e-12       0.000000000000e+00       4.115790637602e-12       6.713084782507e-13      -4.433711305446e-15 
  146       5.593992562346e-10       1.515006040806e-13      -6.255937385872e-12       0.000000000000e+00       4.037772971444e-12       6.612602183494e-13      -4.364568380061e-15 
  147       5.637680808431e-10       1.509759499173e-13      -6.272135391516e-12       0.000000000000e+00       3.961784033756e-12       6.514090423387e-13      -4.294605799708e-15 
  148       5.681129784331e-10       1.503858716513e-13      -6.285217912113e-12       0.000000000000e+00       3.887743530468e-12       6.417470645062e-13      -4.223960329217e-15 
  149       5.724324146587e-10       1.497313373735e-13      -6.295138977878e-12       0.000000000000e+00       3.815560040032e-12       6.322651681717e-13      -4.152774237515e-15 
  150       5.767247993993e-10       1.490134200076e-13      -6.301854130403e-12       0.000000000000e+00       3.745130777379e-12       6.229529789008e-13      -4.081195368401e-15 
  151       5.809884857073e-10       1.482332991371e-13      -6.305320464234e-12       0.000000000000e+00       3.676341357856e-12       6.137988377188e-13      -4.009377211323e-15 
  152       5.852217687549e-10       1.473922628323e-13      -6.305496668456e-12       0.000000000000e+00       3.609065561175e-12       6.047897743240e-13      -3.937478972152e-15 
  153       5.894230046215e-10       1.464916856594e-13      -6.302343207228e-12       0.000000000000e+00       3.543191563813e-12       5.959146747310e-13      -3.865646848547e-15 
  154       5.935909812923e-10       1.455329565630e-13      -6.295822792771e-12       0.000000000000e+00       3.478703876256e-12       5.871741718274e-13      -3.793955748948e-15 
  155       5.977245802926e-10       1.445175477333e-13      -6.285900035824e-12       0.000000000000e+00       3.415608606149e-12       5.785716272247e-13      -3.722462266839e-15 
  156       6.018226595078e-10       1.434470395129e-13      -6.272541352572e-12       0.000000000000e+00       3.353907573839e-12       5.701100090130e-13      -3.651222964619e-15 
  157       6.058840527413e-10       1.423231221029e-13      -6.255715006935e-12       0.000000000000e+00       3.293598211117e-12       5.617918812437e-13      -3.580294348648e-15 
  158       6.099075692718e-10       1.411475972680e-13      -6.235391152855e-12       0.000000000000e+00       3.234673459970e-12       5.536193934123e-13      -3.509732844306e-15 
  159       6.138919934112e-10       1.399223800427e-13      -6.211541876590e-12       0.000000000000e+00       3.177121671330e-12       5.455942699413e-13      -3.439594771035e-15 
  160       6.178360840618e-10       1.386495004366e-13      -6.184141238994e-12       0.000000000000e+00       3.120926503820e-12       5.377177996630e-13      -3.369936317403e-15 
  161       6.217385742744e-10       1.373311051400e-13      -6.153165317814e-12       0.000000000000e+00       3.066066822503e-12       5.299908253020e-13      -3.300813516142e-15 
  162       6.255981708052e-10       1.359694592302e-13      -6.118592249975e-12       0.000000000000e+00       3.012516597629e-12       5.224137329584e-13      -3.232282219212e-15 
  163       6.294135536741e-10       1.345669478763e-13      -6.080402273867e-12       0.000000000000e+00       2.960244803384e-12       5.149864415901e-13      -3.164398072845e-15 
  164       6.331833757219e-10       1.331260780454e-13      -6.038577771638e-12       0.000000000000e+00       2.909215316639e-12       5.077083924961e-13      -3.097216492598e-15 
  165       6.369062621678e-10       1.316494802083e-13      -5.993103311477e-12       0.000000000000e+00       2.859386815696e-12       5.005785387989e-13      -3.030792638408e-15 
  166       6.405808101674e-10       1.301399100447e-13      -5.943965689909e-12       0.000000000000e+00       2.810712679038e-12       4.935953349272e-13      -2.965181389639e-15 
  167       6.442055883698e-10       1.286002501495e-13      -5.891153974080e-12       0.000000000000e+00       2.763140884075e-12       4.867567260992e-13      -2.900437320136e-15 
  168       6.477791364755e-10       1.270335117379e-13      -5.834659544043e-12       0.000000000000e+00       2.716613905895e-12       4.800601378047e-13      -2.836614673279e-15 
  169       6.512999647940e-10       1.254428363514e-13      -5.774476135055e-12       0.000000000000e+00       2.671068616010e-12       4.735024652886e-13      -2.773767337029e-15 
  170       6.547665538012e-10       1.238314975634e-13      -5.710599879855e-12       0.000000000000e+00       2.626436181103e-12       4.670800630330e-13      -2.711948818985e-15 
